epoch,split,total_loss,reconstruction_loss,physical_loss,temporal_smoothness,tsi,jlvr,bas,self_collision,failure_cases
1,val,2.9838211404995656,1.182014657756475,3.276011707275871,0.9273859858512878,13.942929744720459,0.6626735925674438,0.4187687337398529,2.4144689803051733e-08,64
2,val,2.5880970119491336,0.9853810588205894,2.9140289552568452,0.9136183261871338,13.84967851638794,0.6487359404563904,0.41348063945770264,3.863107522761311e-08,64
3,val,1.904708960863549,0.783262922538547,2.038992760688301,0.8780314922332764,13.569232940673828,0.6342610716819763,0.41492733359336853,3.167671636106206e-08,64
4,val,1.1914977342125,0.5305810237494041,1.2016667183928602,0.8312670290470123,13.195857048034668,0.6142740845680237,0.4164517968893051,3.4481420385645833e-08,64
5,val,0.7846868301001121,0.3771563906838575,0.7409644216064393,0.7700710892677307,12.693266868591309,0.5938097238540649,0.4045160859823227,4.0831787728734525e-08,64
6,val,0.5493245375907327,0.28622683131788657,0.47835945074013836,0.7050047218799591,12.14060640335083,0.5710232257843018,0.43223056197166443,6.177730504930423e-08,64
7,val,0.4227910072315396,0.2364925870041209,0.33872439647753405,0.6324745118618011,11.486998558044434,0.5440701544284821,0.416968509554863,6.393468154897164e-08,64
8,val,0.37373389456215805,0.21587957125010454,0.28700785643941773,0.5551164150238037,10.753395557403564,0.5141167640686035,0.4212592840194702,6.033061161758724e-08,64
9,val,0.3366586610557526,0.19802887649752024,0.25205415041427914,0.4804186671972275,9.982821464538574,0.478054478764534,0.409242644906044,6.724330958718383e-08,64
10,val,0.3070990121740056,0.17855769337162258,0.23371148531831157,0.4096282571554184,9.204771041870117,0.43939346075057983,0.42759136855602264,1.0277300432903758e-07,64
11,val,0.28923347205158295,0.17259241652300977,0.21207464363161974,0.34111349284648895,8.388458251953125,0.3935275673866272,0.4174579083919525,1.3342461357979118e-07,64
12,val,0.2599536111270349,0.14960165890887028,0.20063991128929018,0.28176596760749817,7.612795352935791,0.34816625714302063,0.4226779192686081,1.483286808934281e-07,64
13,val,0.25132833386030723,0.1508566072489333,0.18267586058753682,0.22978341579437256,6.860497236251831,0.30390626192092896,0.4196709245443344,1.8285433611708868e-07,64
14,val,0.23592892957953956,0.14051548432646774,0.1734789867452749,0.1848006621003151,6.1397552490234375,0.2570800930261612,0.40306222438812256,2.3301727480884438e-07,64
15,val,0.22423503283909926,0.13428399647314718,0.16354733511922867,0.14695747196674347,5.4677207469940186,0.21448025852441788,0.43081234395504,2.772428615571698e-07,64
16,val,0.2099282177179817,0.12471728821791063,0.15492895967143727,0.11622738465666771,4.85023307800293,0.17913953959941864,0.41871605813503265,3.558430279326785e-07,64
17,val,0.20200098358740018,0.12183844896517401,0.1457500600908685,0.08983474597334862,4.255944728851318,0.14949002861976624,0.41731439530849457,4.739213466109504e-07,64
18,val,0.19119145269469012,0.11667850774925524,0.13547807937766623,0.06856727972626686,3.7015103101730347,0.12682292237877846,0.42753462493419647,5.574433714627958e-07,64
19,val,0.18335556714084206,0.11304166144508077,0.12784346222408174,0.0528679434210062,3.243478536605835,0.10947265848517418,0.42439211905002594,7.615792299020541e-07,64
